STT	Tên		Mã	Giá	Số lượng	
I	PA1					
1	Khung xe mô hình 2 bánh tròn	linhkienchatluong.vn	MOD0265	145	1	145
2	Module ESP32-WROOM-32 NodeMCU-32S 30 pin 	linhkienchatluong.vn	CL09098	125	1	125
3	PIN Lithium 18650 3.7V 2500mAh 5C chất lượng tốt 	linhkienchatluong.vn	CLA4654	47	2	94
4	Mạch Cầu H-Điều Khiển Động Cơ module L9110 2.5V-12v 0.8A 	https://shopee.vn/product/20486128/18389458614?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkUzJYdkg4SUFId3huV3BOemxRSlQvQ000S3hNQjBJdmcrTnF2Rnpua2p1VlJaa3Mrc0pqUWdQOEJzQmhKOW1tSjNEeXkwR2FhMU9BNkZZT3kwcCtOM3M2cDBPK3RkYm15RTJhR1hmWEg0emY&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z1V1f98EX_0YzuGSBer2mSx6yI0Zh-IiBGGGZ0HNYjC9yMkjmMXRM8aAq4EEALw_wcB		15.5	1	15.5
5	Mỏ Kẹp Robot Chất Liệu Acrylic Giáo Dục STem - Tay Gắp Robot Tương Thích Servo SG90, MG90	linhkientot.vn		125	1	125
6	Module cảm biến siêu âm HC-SR04 5VDC 	nt	MOD0010	23	1	23
7	Cảm Biến Phát Hiện Vật Cản / Dò Line 4 Kênh 	shopee	https://shopee.vn/product/951866324/18173641448?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkUm9yWVZMbGw0Q214S0d1TzNEZmUwN29yS0JxbUZRZkI4TzB2cDNsaWxBR3F1Nm9ROWhWZkNTR1p1NWd5YU93MERtOGxtbWZXcmo1NnN5YkpkUkw1TE40SWlsNnROL1hGYkJoUUtnUjNaVkU&gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z38543vqmmqs-3t3lJ8V6E7M4f9GTCmcZC6WGl1eOJuUhQ_4kxtHEcaAh4UEALw_wcB	55	1	55
8	Ốc + Đai ốc 10 đôi			3.5	1	3.5
	Tổng					586
